slice,centroid_y,centroid_x
1,309.7994652406417,270.7834224598931
2,307.5508474576271,271.60169491525426
3,308.3817204301075,272.2383512544803
4,307.8948220064725,271.5064724919094
5,308.16257668711654,270.62883435582825
6,309.0441595441595,269.2264957264957
7,309.05324675324675,267.23506493506494
8,308.3544600938967,265.65962441314554
9,307.5262008733624,264.0764192139738
10,307.5894308943089,262.9959349593496
11,307.9795321637427,261.8430799220273
12,308.6940298507463,260.8134328358209
13,310.1029411764706,260.30882352941177
14,311.5181488203267,260.06261343012704
15,312.98811700182813,260.0228519195612
16,314.5132325141777,260.4413988657845
17,315.5232558139535,261.0581395348837
18,314.58651911468814,262.7072434607646
19,308.4063670411985,263.9269662921348
20,303.66234887737477,263.9110535405872
21,298.1521739130435,262.22670807453414
22,295.60795454545456,260.2613636363636
23,294.08376963350787,301.25392670157066
24,292.6053283767038,301.3289962825279
25,291.75391304347824,301.04782608695655
26,291.2532751091703,301.3165938864629
27,291.20726714431936,301.34851586489253
28,292.1156055528961,301.3774533269507
29,292.7516945323091,301.2469498418437
30,293.7390843577787,301.16596015260706
31,294.70784941930316,301.3526231477773
32,295.84305187429004,301.1804240817872
33,296.7255288633919,301.03961993546073
34,298.1588397790055,301.23342541436466
35,299.5521968946151,301.20267591674923
36,301.3986529826812,301.29858883899936
37,302.915596617601,301.09411212026305
38,304.5833082706767,301.2196992481203
39,305.9057636887608,301.2164265129683
40,306.4668246445498,301.3316141622526
41,307.1818675352877,301.3914223669924
42,307.96774621714894,301.08800106185294
43,308.2698658410733,301.1284829721362
44,308.0548581471253,301.09025859904597
45,307.9619897335615,301.3934245905647
46,307.820822376285,301.131843174755
47,307.02869808679424,301.30587960802615
48,306.56636259977194,301.3376282782212
49,306.28218262806234,301.27104677060134
50,305.92850896370794,301.3285964145168
51,304.9423982869379,301.3012847965739
52,304.0980265980266,301.3747318747319
53,303.230332261522,301.32422293676314
54,303.35563528915156,301.1749683410722
55,303.07716701902746,301.2894291754757
56,304.1678700361011,301.3375451263538
57,304.46607572773036,301.31265047056246
58,304.8744360902256,301.256820622986
59,305.2546168541711,301.10942475058374
60,305.1707853403141,301.0325654450262
61,305.40984974958263,301.3146911519199
62,303.54529965925036,301.33964722389254
63,302.71660079051384,301.32213438735175
64,302.2354260089686,301.22158315461104
65,301.9512030798845,300.9802694898941
66,301.3512869399428,301.3825548141087
67,301.1247868106879,301.25819594466554
68,300.3366533864542,301.30117624739137
69,300.14684581665716,301.2987421383648
70,293.56460296096907,301.0935397039031
71,293.7421740626075,300.74595803233575
72,294.1454322716136,301.01417570878544
73,294.3187967248131,301.7719829120683
74,294.03757225433526,301.1387283236994
75,295.2188912915274,300.99282484765087
76,290.7948865820838,300.92483660130716
77,291.2768828030608,301.1552557390254
78,291.036231884058,300.9649432040736
79,290.17412263787116,301.19687620516777
80,288.9179018286814,301.31982675649664
81,288.17514450867054,301.0630057803468
82,286.9450261780105,301.2634283498158
83,283.6617968594713,301.0905386603061
84,282.0332252836305,301.4586709886548
85,281.34154351395733,301.19458128078816
86,280.1950354609929,301.2221526908636
87,282.9541734860884,301.0720130932897
88,283.31863149216815,301.4109645507007
89,283.78012486992714,301.59739854318417
90,284.636690647482,301.10304697418536
91,284.5757247944613,301.2533535266119
92,284.6630148992112,301.33260297984225
93,285.4080357142857,301.35625
94,286.7560125870982,300.87603955945156
95,285.2755382501145,301.20132844709116
96,285.53561387066543,301.0370196813496
97,286.9843373493976,301.1375903614458
98,288.0215419501134,301.28634416729653
99,257.8829787234043,171.00531914893617
100,255.5504731861199,169.80914826498423
101,253.49196787148594,168.4879518072289
102,251.78571428571428,166.2657142857143
103,312.5605738575983,301.2647892313142
104,312.6417270929466,301.4512195121951
105,311.5503793626707,301.4927162367223
106,310.7601512181462,301.43055166619996
107,309.4443686937551,301.1814835014999
108,308.49729290741743,301.31591770438547
109,308.0028355387524,301.41358358088036
110,307.8984716157205,301.2467248908297
111,308.252688172043,301.21505376344084
112,307.5841530054645,301.3448087431694
113,307.20633187772927,301.18995633187774
114,306.94521115097984,301.34543196246204
115,300.56390748630554,301.23219720024343
116,301.51591674318945,301.35185185185185
117,302.9371331479765,301.4901143033673
118,304.5580162195883,301.1431690580162
119,305.1458975940777,301.4950647748303
120,306.2624922887107,301.47162245527454
121,309.1205827650341,301.312771233726
122,311.44263862332696,301.32281708094325
123,312.6897271268058,301.107062600321
124,314.63678618857904,301.16932270916334
125,317.232321490169,301.25163849603314
126,318.88987883107626,301.0424091233072
127,318.9296351451973,301.2736411020104
128,322.00199203187253,301.4442231075697
129,325.2503296703297,301.3558241758242
130,331.0084500241429,301.19676484789954
131,335.8402854006586,301.38583973655324
